cluster_id,cone_type,num_observations,global_x,global_y,std_x,std_y,cov_xy,first_seen,last_seen
1,left,16,42.79213345359647,5.013311000065452,0.08146854823363965,0.08146854823363965,0.0,0.0,1.5
2,left,32,40.82761693593375,9.758908835043274,0.05688648848088621,0.05688648848088621,0.0,0.0,3.1
3,left,48,37.64984760786188,14.277371958660972,0.04606220036807846,0.04606220036807846,0.0,0.0,4.7
4,left,65,33.338244637624136,18.305942526332366,0.04067885654745072,0.04067885654745072,0.0,0.0,6.4
5,right,19,35.94714558404214,3.821906991421259,0.07340736853896757,0.07340736853896757,0.0,0.0,1.8
6,right,36,34.36175802493219,7.379390487165904,0.05344351110009963,0.05344351110009963,0.0,0.0,3.5
7,right,54,31.588784468278348,10.734463690889166,0.04413130543061306,0.04413130543061306,0.0,0.0,5.2
8,left,81,27.960320980773044,21.815192376089843,0.03605270606889284,0.03605270606889284,0.0,0.1,8.1
9,right,69,27.949628910072295,13.812313701176597,0.038837752569802854,0.038837752569802854,0.0,0.1,6.9
12,right,69,23.48323193198722,16.468075611217344,0.03902454690425347,0.03902454690425347,0.0,1.7,8.5
14,right,70,18.24248234703609,18.582441482469726,0.038483305165629506,0.038483305165629506,0.0,3.2,10.1
15,left,66,21.769193865740103,24.693821686556927,0.039841502748400766,0.039841502748400766,0.0,3.3,9.8
16,right,71,12.494186055884303,20.166514605232216,0.0382743636333345,0.0382743636333345,0.0,4.7,11.7
18,left,58,14.869690151175798,26.769001442616865,0.04265735410478918,0.04265735410478918,0.0,5.8,11.5
19,right,65,6.322389796405293,21.167938159086653,0.03958371431268361,0.03958371431268361,0.0,6.9,13.3
20,left,54,7.521755147198835,28.06812449472249,0.04394321310465485,0.04394321310465485,0.0,7.9,13.2
21,right,61,-0.0010777819562208671,21.50496513685297,0.04099362571913524,0.04099362571913524,0.0,9.0,15.0
22,left,53,-0.0003409076528895507,28.55736619494119,0.044152024512689986,0.044152024512689986,0.0,9.8,15.0
24,right,58,-6.369301333317937,21.162420152226353,0.04205374993157818,0.04205374993157818,0.0,10.9,16.6
27,left,52,-7.561925078084539,28.060114718217296,0.04502406476567182,0.04502406476567182,0.0,11.6,16.7
28,right,58,-12.461560165543016,20.199951702411695,0.042066274919452265,0.042066274919452265,0.0,12.5,18.2
29,left,51,-14.85090042197719,26.794959046618853,0.045072120386499874,0.045072120386499874,0.0,13.4,18.4
31,right,59,-18.29297492566245,18.606874707666645,0.042010411620338126,0.042010411620338126,0.0,14.0,19.8
32,left,52,-21.770444028229715,24.660967009375256,0.044672408942101643,0.044672408942101643,0.0,15.0,20.1
33,right,60,-23.450725832676024,16.463176742173513,0.041772151815843026,0.041772151815843026,0.0,15.5,21.4
34,left,54,-27.94575722971854,21.80823683311783,0.04333810534122993,0.04333810534122993,0.0,16.5,21.8
35,right,65,-27.940170454985008,13.800237338905898,0.04017587345535957,0.04017587345535957,0.0,16.7,23.0
37,right,69,-31.613338243309904,10.789797051951577,0.03890577568594263,0.03890577568594263,0.0,17.9,24.7
39,left,56,-33.278107510545176,18.316114683892586,0.042948703123678385,0.042948703123678385,0.0,18.0,23.5
41,right,76,-34.30971827824636,7.364955436427744,0.03693031596699668,0.03693031596699668,0.0,18.9,26.4
42,left,60,-37.67239978711418,14.261574414329775,0.04171541516269371,0.04171541516269371,0.0,19.3,25.2
43,right,85,-35.967474840816045,3.720599529768442,0.03509288705192516,0.03509288705192516,0.0,19.7,28.1
44,left,64,-40.87814114662444,9.727402197511193,0.04037797734114127,0.04037797734114127,0.0,20.5,26.8
46,left,69,-42.843119308134845,4.915638185133181,0.0387394115748183,0.0387394115748183,0.0,21.6,28.4
47,right,84,-36.505355364787924,0.007483838149215346,0.0354416913657921,0.0354416913657921,0.0,21.7,30.0
48,left,75,-43.51065064916737,0.03243616966262004,0.03741055621454086,0.03741055621454086,0.0,22.6,30.0
49,left,81,-42.81755182767355,-4.923042481638554,0.03604488740219411,0.03604488740219411,0.0,23.5,31.5
50,right,81,-35.94479476944176,-3.7255628347128487,0.03590106757080599,0.03590106757080599,0.0,23.8,31.8
52,left,88,-40.90471445473267,-9.756543085566845,0.034467491944299225,0.034467491944299225,0.0,24.4,33.1
53,right,76,-34.30018821766433,-7.371868002355512,0.037294492823069535,0.037294492823069535,0.0,26.0,33.5
