cluster_id,cone_type,num_observations,global_x,global_y,std_x,std_y,cov_xy,is_ghost_candidate
0,left,1,43.53100009547951,-0.02598702991260468,0.32163376045133846,0.32163376045133846,0.0,True
1,left,16,42.79213345359647,5.013311000065452,0.08146854823363965,0.08146854823363965,0.0,False
2,left,32,40.82761693593375,9.758908835043274,0.05688648848088621,0.05688648848088621,0.0,False
3,left,48,37.64984760786188,14.277371958660972,0.04606220036807846,0.04606220036807846,0.0,False
4,left,65,33.338244637624136,18.305942526332366,0.04067885654745072,0.04067885654745072,0.0,False
5,right,19,35.94714558404214,3.821906991421259,0.07340736853896757,0.07340736853896757,0.0,False
6,right,36,34.36175802493219,7.379390487165904,0.05344351110009963,0.05344351110009963,0.0,False
7,right,54,31.588784468278348,10.734463690889166,0.04413130543061306,0.04413130543061306,0.0,False
8,left,81,27.960320980773044,21.815192376089843,0.03605270606889284,0.03605270606889284,0.0,False
9,right,69,27.949628910072295,13.812313701176597,0.038837752569802854,0.038837752569802854,0.0,False
10,left,1,43.8181174750426,7.148671469648412,0.4472135954999579,0.4472135954999579,0.0,True
11,unknown,1,45.34644455417522,12.914396748945542,0.5477225575051661,0.5477225575051661,0.0,True
12,right,69,23.48323193198722,16.468075611217344,0.03902454690425347,0.03902454690425347,0.0,False
13,right,1,29.444081849751463,9.81649329261622,0.4242640687119285,0.4242640687119285,0.0,True
14,right,70,18.24248234703609,18.582441482469726,0.038483305165629506,0.038483305165629506,0.0,False
15,left,66,21.769193865740103,24.693821686556927,0.039841502748400766,0.039841502748400766,0.0,False
16,right,71,12.494186055884303,20.166514605232216,0.0382743636333345,0.0382743636333345,0.0,False
17,right,1,29.321680739809665,16.8298967433309,0.5388159060803247,0.5388159060803247,0.0,True
18,left,58,14.869690151175798,26.769001442616865,0.04265735410478918,0.04265735410478918,0.0,False
19,right,65,6.322389796405293,21.167938159086653,0.03958371431268361,0.03958371431268361,0.0,False
20,left,54,7.521755147198835,28.06812449472249,0.04394321310465485,0.04394321310465485,0.0,False
21,right,61,-0.0010777819562208671,21.50496513685297,0.04099362571913524,0.04099362571913524,0.0,False
22,left,53,-0.0003409076528895507,28.55736619494119,0.044152024512689986,0.044152024512689986,0.0,False
23,right,1,16.079075119386438,27.593543273570106,0.4743416490252569,0.4743416490252569,0.0,True
24,right,58,-6.369301333317937,21.162420152226353,0.04205374993157818,0.04205374993157818,0.0,False
25,left,1,10.391223564493215,20.687943474893988,0.5222329678670935,0.5222329678670935,0.0,True
26,right,1,6.121251926443696,19.285894255230644,0.5222329678670935,0.5222329678670935,0.0,True
27,left,52,-7.561925078084539,28.060114718217296,0.04502406476567182,0.04502406476567182,0.0,False
28,right,58,-12.461560165543016,20.199951702411695,0.042066274919452265,0.042066274919452265,0.0,False
29,left,51,-14.85090042197719,26.794959046618853,0.045072120386499874,0.045072120386499874,0.0,False
30,right,1,3.8729348094131386,27.173298659492108,0.5222329678670935,0.5222329678670935,0.0,True
31,right,59,-18.29297492566245,18.606874707666645,0.042010411620338126,0.042010411620338126,0.0,False
32,left,52,-21.770444028229715,24.660967009375256,0.044672408942101643,0.044672408942101643,0.0,False
33,right,60,-23.450725832676024,16.463176742173513,0.041772151815843026,0.041772151815843026,0.0,False
34,left,54,-27.94575722971854,21.80823683311783,0.04333810534122993,0.04333810534122993,0.0,False
35,right,65,-27.940170454985008,13.800237338905898,0.04017587345535957,0.04017587345535957,0.0,False
36,left,1,-15.417919227536531,19.106180853578724,0.4931969619160719,0.4931969619160719,0.0,True
37,right,69,-31.613338243309904,10.789797051951577,0.03890577568594263,0.03890577568594263,0.0,False
38,right,1,-17.57744504881854,30.223474374011992,0.5,0.5,0.0,True
39,left,56,-33.278107510545176,18.316114683892586,0.042948703123678385,0.042948703123678385,0.0,False
40,left,1,-32.687042561770554,22.677300033795984,0.5773502691896257,0.5773502691896257,0.0,True
41,right,76,-34.30971827824636,7.364955436427744,0.03693031596699668,0.03693031596699668,0.0,False
42,left,60,-37.67239978711418,14.261574414329775,0.04171541516269371,0.04171541516269371,0.0,False
43,right,85,-35.967474840816045,3.720599529768442,0.03509288705192516,0.03509288705192516,0.0,False
44,left,64,-40.87814114662444,9.727402197511193,0.04037797734114127,0.04037797734114127,0.0,False
45,left,1,-32.14423917487777,16.228160089082785,0.4685212856658182,0.4685212856658182,0.0,True
46,left,69,-42.843119308134845,4.915638185133181,0.0387394115748183,0.0387394115748183,0.0,False
47,right,84,-36.505355364787924,0.007483838149215346,0.0354416913657921,0.0354416913657921,0.0,False
48,left,75,-43.51065064916737,0.03243616966262004,0.03741055621454086,0.03741055621454086,0.0,False
49,left,81,-42.81755182767355,-4.923042481638554,0.03604488740219411,0.03604488740219411,0.0,False
50,right,81,-35.94479476944176,-3.7255628347128487,0.03590106757080599,0.03590106757080599,0.0,False
51,unknown,1,-32.265541865166554,9.233585554534729,0.45226701686664544,0.45226701686664544,0.0,True
52,left,88,-40.90471445473267,-9.756543085566845,0.034467491944299225,0.034467491944299225,0.0,False
53,right,76,-34.30018821766433,-7.371868002355512,0.037294492823069535,0.037294492823069535,0.0,False
54,right,1,-50.71368504146391,-0.2310584897541066,0.4375949744936837,0.4375949744936837,0.0,True
55,left,83,-37.673908993053104,-14.24124151480166,0.035324363959435466,0.035324363959435466,0.0,False
56,right,71,-31.609685686481694,-10.754055020961871,0.038327127354411655,0.038327127354411655,0.0,False
57,right,1,-40.95200460354129,-5.852039513402929,0.5883484054145521,0.5883484054145521,0.0,True
58,left,81,-33.3199509253106,-18.32484769836274,0.03584019172814304,0.03584019172814304,0.0,False
59,right,1,-48.151102786624406,-14.985361512058603,0.4629100498862757,0.4629100498862757,0.0,True
60,left,81,-27.920484511323966,-21.817981170734203,0.035934849228511305,0.035934849228511305,0.0,False
61,right,69,-27.99531331789835,-13.804528126206616,0.03884727573626403,0.03884727573626403,0.0,False
62,unknown,1,-33.006342391959784,-8.925984341325645,0.48038446141526137,0.48038446141526137,0.0,True
63,right,69,-23.490577004036048,-16.471680939448802,0.03909639005068983,0.03909639005068983,0.0,False
64,right,70,-18.235205723858204,-18.62097186654629,0.03875607909250449,0.03875607909250449,0.0,False
65,left,66,-21.790871259183845,-24.7152266416202,0.039438304536871596,0.039438304536871596,0.0,False
66,unknown,1,-22.158488124299755,-19.989225342064326,0.50709255283711,0.50709255283711,0.0,True
67,left,1,-41.04035143847384,-14.609345115058726,0.5388159060803247,0.5388159060803247,0.0,True
68,right,71,-12.482946888042884,-20.21519618776092,0.03845881207218417,0.03845881207218417,0.0,False
69,left,1,-31.17569202897478,-14.513410736689817,0.48038446141526137,0.48038446141526137,0.0,True
70,left,58,-14.94252891720083,-26.729153656944145,0.04236343846895125,0.04236343846895125,0.0,False
71,unknown,1,-31.528792381980544,-22.523539593533336,0.4242640687119285,0.4242640687119285,0.0,True
72,right,65,-6.286773479254109,-21.193104774439046,0.040379931341026194,0.040379931341026194,0.0,False
73,left,54,-7.5052987106159055,-28.09830915940145,0.04350308788485278,0.04350308788485278,0.0,False
74,right,61,0.013666609392082099,-21.524360861393273,0.04130705244546514,0.04130705244546514,0.0,False
75,left,53,-0.05727134514612932,-28.562322403083957,0.044309920036383045,0.044309920036383045,0.0,False
76,right,58,6.327099496732795,-21.2017660223469,0.041828787142468044,0.041828787142468044,0.0,False
77,left,1,-8.704047189152487,-16.950819808728276,0.5222329678670935,0.5222329678670935,0.0,True
78,left,52,7.525562025011936,-28.090746408088275,0.044513296936720695,0.044513296936720695,0.0,False
79,right,58,12.494471536955713,-20.19298291788312,0.04232767023577977,0.04232767023577977,0.0,False
